Token|TF|DF|IDF
brenzell|1|1|10.5343869196
tenia|18|12|8.04942705711
isya|1|1|10.5343869196
httpshoppingyahoocom|1|1|10.5343869196
pouffebourre|1|1|10.5343869196
pouvaisje|1|1|10.5343869196
parasites|60|58|6.47389069635
lopros|3|1|10.5343869196
dga|1|1|10.5343869196
landvis|1|1|10.5343869196
stizars|1|1|10.5343869196
2day|2|2|9.84123973906
dgf|4|3|9.43572141823
kown|1|1|10.5343869196
buttercups|3|3|9.43572141823
golem|2|2|9.84123973906
nattie|2|1|10.5343869196
droppiní|3|3|9.43572141823
nastys|5|5|8.92492240118
lockhead|1|1|10.5343869196
snoochie|2|2|9.84123973906
mazur|7|3|9.43572141823
perpertation|1|1|10.5343869196
bassers|1|1|10.5343869196
unspittable|1|1|10.5343869196
guitarists|1|1|10.5343869196
goles|2|2|9.84123973906
abbott|15|15|7.82604401352
abbots|3|3|9.43572141823
lovingkindness|1|1|10.5343869196
dilatedechoes|1|1|10.5343869196
pagerits|1|1|10.5343869196
mattter|1|1|10.5343869196
pumpkins|17|12|8.04942705711
ltrottoir|1|1|10.5343869196
mac125excitecom|1|1|10.5343869196
nonspellin|1|1|10.5343869196
bobobiggy|1|1|10.5343869196
stunnaz|1|1|10.5343869196
troopheads|1|1|10.5343869196
whippits|2|2|9.84123973906
heyyyyyyyyy|1|1|10.5343869196
lineruns|1|1|10.5343869196
husbands|37|35|6.97821374263
780ll|1|1|10.5343869196
indowed|1|1|10.5343869196
saladeem|5|1|10.5343869196
toohaha|1|1|10.5343869196
jeffjeff|1|1|10.5343869196
llegar|30|21|7.48941208351
twicely|1|1|10.5343869196
farward|1|1|10.5343869196
saneless|1|1|10.5343869196
momment|1|1|10.5343869196
welcomeî|1|1|10.5343869196
mendacity|1|1|10.5343869196
woodey|1|1|10.5343869196
yester|3|3|9.43572141823
cascam|1|1|10.5343869196
purpose|740|668|4.02535169074
lazers|6|6|8.74257423767
milankovich|1|1|10.5343869196
wayoff|1|1|10.5343869196
tecí|1|1|10.5343869196
stylistics|9|9|8.33710912956
phoneflip|2|2|9.84123973906
megabytes|5|5|8.92492240118
looos|1|1|10.5343869196
looow|2|2|9.84123973906
looou|1|1|10.5343869196
olds|34|34|7.00760061395
renovated|5|5|8.92492240118
needer|4|4|9.14803934578
