,'m,'m,'m,,,
,a,a,a,,,
,rep,rep,rep,,,
,for,for,for,,,
,the,the,the,,,
,god,god,god,,,
,father,father,fath,,,fath
,gangster,gangster,gangst,,,gangst
,music,music,mus,,,mus
,please,pleas,pleas,,pleas,pleas
,beleive,beleiv,beleiv,,beleiv,beleiv
,me,me,me,,,
,eric,eric,er,,,er
,wright,wright,wright,,,
,'s,'s,'s,,,
,still,still,stil,,,stil
,bombing,bomb,bomb,,bomb,bomb
,on,on,on,,,
,'em,'em,'em,,,
,deuce,deuc,deuc,,deuc,deuc
,double,doubl,doubl,,doubl,doubl
,o,o,o,,,
,six,six,six,,,
,with,with,with,,,
,the,the,the,,,
,seeds,seed,see,,seed,see
,of,of,of,,,
,eazy,eazi,eazy,,eazi,
,one,one,on,,,on
,of,of,of,,,
,the,the,the,,,
,reasons,reason,reason,,reason,reason
,we,we,we,,,
,neededame,neededam,neededam,,neededam,neededam
,a,a,a,,,
,moment,moment,mom,,,mom
,up,up,up,,,
,in,in,in,,,
,silence,silenc,sil,,silenc,sil
,in,in,in,,,
,the,the,the,,,
,middle,middl,middl,,middl,middl
,of,of,of,,,
,itit'llbe,itit'llb,itit'llbe,,itit'llb,
,a,a,a,,,
,bopwit,bopwit,bopwit,,,
,bizzy,bizzi,bizzy,,bizzi,
,bone,bone,bon,,,bon
,get,get,get,,,
,a,a,a,,,
,gun,gun,gun,,,
,for,for,for,,,
,the,the,the,,,
,chrome,chrome,chrome,,,
,we,we,we,,,
,do,do,do,,,
,pop,pop,pop,,,
,it,it,it,,,
,and,and,and,,,
,they,they,they,,,
,never,never,nev,,,nev
,can,can,can,,,
,sink,sink,sink,,,
,the,the,the,,,
,ship,ship,ship,,,
,and,and,and,,,
,the,the,the,,,
,thuggish,thuggish,thug,,,thug
,ruggish,ruggish,rug,,,rug
,yes,ye,ye,,ye,ye
,you,you,you,,,
,know,know,know,,,
,but,but,but,,,
,we,we,we,,,
,do,do,do,,,
,n't,n't,n't,,,
,ride,ride,rid,,,rid
,in,in,in,,,
,the,the,the,,,
,one,one,on,,,on
,an,an,an,,,
,the,the,the,,,
,people,peopl,peopl,,peopl,peopl
,they,they,they,,,
,wan,wan,wan,,,
,na,na,na,,,
,tell,tell,tel,,,tel
,me,me,me,,,
,but,but,but,,,
,they,they,they,,,
,come,come,com,,,com
,in,in,in,,,
,they,they,they,,,
,desiring,desir,desir,,desir,desir
,tell,tell,tel,,,tel
,em,em,em,,,
,my,my,my,,,
,thugs,thug,thug,,thug,thug
,desiring,desir,desir,,desir,desir
,i,i,i,,,
,still,still,stil,,,stil
,cant,cant,cant,,,
,remember,rememb,rememb,,rememb,rememb
,the,the,the,,,
,front,front,front,,,
,side,side,sid,,,sid
,in,in,in,,,
,shoulda,shoulda,should,,,should
,remember,rememb,rememb,,rememb,rememb
,day,day,day,,,
,that,that,that,,,
,we,we,we,,,
,was,wa,was,,wa,
,thriving,thrive,thriving,,thrive,
,vibing,vibe,vib,,vibe,vib
,from,from,from,,,
,pullin,pullin,pullin,,,
,together,togeth,togeth,,togeth,togeth
,we,we,we,,,
,'ll,'ll,'ll,,,
,never,never,nev,,,nev
,split,split,split,,,
,up,up,up,,,
,or,or,or,,,
,get,get,get,,,
,up,up,up,,,
,and,and,and,,,
,get,get,get,,,
,on,on,on,,,
,you,you,you,,,
,know,know,know,,,
,that,that,that,,,
,im,im,im,,,
,crying,cri,cry,,cri,cry
,forever,forev,forev,,forev,forev
,my,my,my,,,
,name,name,nam,,,nam
,is,is,is,,,
,bryan,bryan,bry,,,bry
,little,littl,littl,,littl,littl
,bizzy,bizzi,bizzy,,bizzi,
,in,in,in,,,
,the,the,the,,,
,kizzy,kizzi,kizzy,,kizzi,
,he,he,he,,,
,up,up,up,,,
,in,in,in,,,
,the,the,the,,,
,house,hous,hous,,hous,hous
,call,call,cal,,,cal
,it,it,it,,,
,whatever,whatev,whatev,,whatev,whatev
,you,you,you,,,
,want,want,want,,,
,to,to,to,,,
,call,call,cal,,,cal
,it,it,it,,,
,if,if,if,,,
,i,i,i,,,
,'m,'m,'m,,,
,crawlin,crawlin,crawlin,,,
,it,it,it,,,
,'s,'s,'s,,,
,heavenz,heavenz,heavenz,,,
,movie,movi,movy,,movi,movy
,you,you,you,,,
,know,know,know,,,
,that,that,that,,,
,i,i,i,,,
,'m,'m,'m,,,
,out,out,out,,,
,to,to,to,,,
,say,say,say,,,
,wow,wow,wow,,,
,got,got,got,,,
,ta,ta,ta,,,
,get,get,get,,,
,that,that,that,,,
,money,money,money,,,
,ai,ai,ai,,,
,n't,n't,n't,,,
,a,a,a,,,
,damn,damn,damn,,,
,thing,thing,thing,,,
,funny,funni,funny,,funni,
,you,you,you,,,
,ever,ever,ev,,,ev
,been,been,been,,,
,hungry,hungri,hungry,,hungri,
,they,they,they,,,
,know,know,know,,,
,im,im,im,,,
,comming,com,com,,com,com
,wrap,wrap,wrap,,,
,up,up,up,,,
,a,a,a,,,
,body,bodi,body,,bodi,
,an,an,an,,,
,cover,cover,cov,,,cov
,with,with,with,,,
,lenil,lenil,lenil,,,
,an,an,an,,,
,excuse,excus,excus,,excus,excus
,me,me,me,,,
,you,you,you,,,
,know,know,know,,,
,you,you,you,,,
,live,live,liv,,,liv
,fully,fulli,ful,,fulli,ful
,in,in,in,,,
,sin,sin,sin,,,
,im,im,im,,,
,a,a,a,,,
,gentlemen,gentlemen,gentlem,,,gentlem
,i,i,i,,,
,do,do,do,,,
,n't,n't,n't,,,
,have,have,hav,,,hav
,anytime,anytim,anytim,,anytim,anytim
,for,for,for,,,
,us,us,us,,,
,to,to,to,,,
,play,play,play,,,
,hotter,hotter,hot,,,hot
,back,back,back,,,
,furgin,furgin,furgin,,,
,virgin,virgin,virgin,,,
,tell,tell,tel,,,tel
,em,em,em,,,
,thatawe,thataw,thataw,,thataw,thataw
,splurgin,splurgin,splurgin,,,
,splurgin,splurgin,splurgin,,,
,yea,yea,ye,,,ye
,they,they,they,,,
,feel,feel,feel,,,
,that,that,that,,,
,energy,energi,energy,,energi,
,surgin,surgin,surgin,,,
,bone,bone,bon,,,bon
,thug,thug,thug,,,
,yes,ye,ye,,ye,ye
,thats,that,that,,that,that
,surgeon,surgeon,surgeon,,,
,little,littl,littl,,littl,littl
,b,b,b,,,
,youll,youll,youl,,,youl
,never,never,nev,,,nev
,be,be,be,,,
,little,littl,littl,,littl,littl
,to,to,to,,,
,me,me,me,,,
,when,when,when,,,
,you,you,you,,,
,need,need,nee,,,nee
,me,me,me,,,
,ill,ill,il,,,il
,be,be,be,,,
,there,there,ther,,,ther
,in,in,in,,,
,person,person,person,,,
,you,you,you,,,
,will,will,wil,,,wil
,never,never,nev,,,nev
,be,be,be,,,
,little,littl,littl,,littl,littl
,to,to,to,,,
,me,me,me,,,
,when,when,when,,,
,you,you,you,,,
,need,need,nee,,,nee
,me,me,me,,,
,ill,ill,il,,,il
,be,be,be,,,
,there,there,ther,,,ther
,in,in,in,,,
,person,person,person,,,
,wow,wow,wow,,,
,first,first,first,,,
,off,off,off,,,
,im,im,im,,,
,a,a,a,,,
,let,let,let,,,
,em,em,em,,,
,know,know,know,,,
,bone,bone,bon,,,bon
,thugs,thug,thug,,thug,thug
,little,littl,littl,,littl,littl
,e,e,e,,,
,thug,thug,thug,,,
,it,it,it,,,
,coast,coast,coast,,,
,to,to,to,,,
,coast,coast,coast,,,
,i,i,i,,,
,ai,ai,ai,,,
,n't,n't,n't,,,
,gone,gone,gon,,,gon
,lie,lie,lie,,,
,nigga,nigga,nigg,,,nigg
,get,get,get,,,
,raw,raw,raw,,,
,you,you,you,,,
,can,can,can,,,
,feel,feel,feel,,,
,that,that,that,,,
,fire,fire,fir,,,fir
,better,better,bet,,,bet
,go,go,go,,,
,on,on,on,,,
,boy,boy,boy,,,
,in,in,in,,,
,the,the,the,,,
,hood,hood,hood,,,
,yes,ye,ye,,ye,ye
,everday,everday,everday,,,
,cause,caus,caus,,caus,caus
,i,i,i,,,
,still,still,stil,,,stil
,got,got,got,,,
,the,the,the,,,
,hood,hood,hood,,,
,in,in,in,,,
,me,me,me,,,
,this,thi,thi,,thi,thi
,in,in,in,,,
,me,me,me,,,
,if,if,if,,,
,your,your,yo,,,yo
,in,in,in,,,
,position,posit,posit,,posit,posit
,better,better,bet,,,bet
,get,get,get,,,
,it,it,it,,,
,better,better,bet,,,bet
,get,get,get,,,
,it,it,it,,,
,complete,complet,complet,,complet,complet
,it,it,it,,,
,take,take,tak,,,tak
,that,that,that,,,
,laid,laid,laid,,,
,back,back,back,,,
,but,but,but,,,
,im,im,im,,,
,still,still,stil,,,stil
,the,the,the,,,
,top,top,top,,,
,dog,dog,dog,,,
,when,when,when,,,
,things,thing,thing,,thing,thing
,go,go,go,,,
,down,down,down,,,
,from,from,from,,,
,cleveland,cleveland,cleveland,,,
,to,to,to,,,
,compton,compton,compton,,,
,you,you,you,,,
,need,need,nee,,,nee
,me,me,me,,,
,just,just,just,,,
,holla,holla,holl,,,holl
,thugs,thug,thug,,thug,thug
,in,in,in,,,
,big,big,big,,,
,trucks,truck,truck,,truck,truck
,we,we,we,,,
,real,real,real,,,
,wont,wont,wont,,,
,doubt,doubt,doubt,,,
,ready,readi,ready,,readi,
,for,for,for,,,
,problems,problem,problem,,problem,problem
,every,everi,every,,everi,
,single,singl,singl,,singl,singl
,day,day,day,,,
,chasing,chase,chas,,chase,chas
,money,money,money,,,
,man,man,man,,,
,it,it,it,,,
,do,do,do,,,
,n't,n't,n't,,,
,seem,seem,seem,,,
,i,i,i,,,
,can,can,can,,,
,think,think,think,,,
,about,about,about,,,
,another,anoth,anoth,,anoth,anoth
,thing,thing,thing,,,
,it,it,it,,,
,'s,'s,'s,,,
,another,anoth,anoth,,anoth,anoth
,coming,come,com,,come,com
,at,at,at,,,
,ya,ya,ya,,,
,so,so,so,,,
,you,you,you,,,
,better,better,bet,,,bet
,pray,pray,pray,,,
,it,it,it,,,
,'s,'s,'s,,,
,mr,mr,mr,,,
,sawed,saw,saw,,saw,saw
,off,off,off,,,
,just,just,just,,,
,call,call,cal,,,cal
,me,me,me,,,
,leatherface,leatherfac,leatherfac,,leatherfac,leatherfac
,hit,hit,hit,,,
,a,a,a,,,
,brain,brain,brain,,,
,drama,drama,dram,,,dram
,if,if,if,,,
,they,they,they,,,
,really,realli,real,,realli,real
,wan,wan,wan,,,
,na,na,na,,,
,it,it,it,,,
,but,but,but,,,
,i,i,i,,,
,do,do,do,,,
,n't,n't,n't,,,
,think,think,think,,,
,they,they,they,,,
,really,realli,real,,realli,real
,want,want,want,,,
,it,it,it,,,
,if,if,if,,,
,they,they,they,,,
,knew,knew,knew,,,
,just,just,just,,,
,what,what,what,,,
,i,i,i,,,
,do,do,do,,,
,to,to,to,,,
,my,my,my,,,
,opponent,oppon,oppon,,oppon,oppon
,gon,gon,gon,,,
,na,na,na,,,
,be,be,be,,,
,another,anoth,anoth,,anoth,anoth
,muder,muder,mud,,,mud
,moment,moment,mom,,,mom
,ruff,ruff,ruff,,,
,&,&,&,,,
,rugged,rug,rug,,rug,rug
,thuggish,thuggish,thug,,,thug
,ruggish,ruggish,rug,,,rug
,keep,keep,keep,,,
,it,it,it,,,
,ole,ole,ol,,,ol
,soul,soul,soul,,,
,gully,gulli,gul,,gulli,gul
,really,realli,real,,realli,real
,i,i,i,,,
,'m,'m,'m,,,
,knowing,know,know,,know,know
,they,they,they,,,
,ai,ai,ai,,,
,n't,n't,n't,,,
,ready,readi,ready,,readi,
,to,to,to,,,
,see,see,see,,,
,us,us,us,,,
,put,put,put,,,
,in,in,in,,,
,down,down,down,,,
,with,with,with,,,
,little,littl,littl,,littl,littl
,eazy,eazi,eazy,,eazi,
,e,e,e,,,
,bone,bone,bon,,,bon
,thugs,thug,thug,,thug,thug
,n,n,n,,,
,harmony,harmoni,harmony,,harmoni,
,always,alway,alway,,alway,alway
,ready,readi,ready,,readi,
,to,to,to,,,
,get,get,get,,,
,down,down,down,,,
,for,for,for,,,
,what,what,what,,,
,ever,ever,ev,,,ev
,when,when,when,,,
,ever,ever,ev,,,ev
,you,you,you,,,
,wan,wan,wan,,,
,na,na,na,,,
,go,go,go,,,
,acouple,acoupl,acoupl,,acoupl,acoupl
,rounds,round,round,,round,round
,c'mon,c'mon,c'mon,,,
,so,so,so,,,
,anybody,anybodi,anybody,,anybodi,
,wanting,want,want,,want,want
,beef,beef,beef,,,
,run,run,run,,,
,up,up,up,,,
,we,we,we,,,
,got,got,got,,,
,it,it,it,,,
,hot,hot,hot,,,
,off,off,off,,,
,the,the,the,,,
,grill,grill,gril,,,gril
,sawd,sawd,sawd,,,
,off,off,off,,,
,the,the,the,,,
,real,real,real,,,
,raised,rais,rais,,rais,rais
,on,on,on,,,
,these,these,thes,,,thes
,streets,street,streets,,street,
,man,man,man,,,
,so,so,so,,,
,the,the,the,,,
,trill,trill,tril,,,tril
,gon,gon,gon,,,
,na,na,na,,,
,recognise,recognis,recogn,,recognis,recogn
,trill,trill,tril,,,tril
,look,look,look,,,
,watever,watev,watev,,watev,watev
,deal,deal,deal,,,
,the,the,the,,,
,case,case,cas,,,cas
,the,the,the,,,
,situations,situat,situ,,situat,situ
,none,none,non,,,non
,of,of,of,,,
,ya,ya,ya,,,
,'ll,'ll,'ll,,,
,can,can,can,,,
,never,never,nev,,,nev
,see,see,see,,,
,kray,kray,kray,,,
,we,we,we,,,
,got,got,got,,,
,em,em,em,,,
,all,all,al,,,al
,trying,tri,try,,tri,try
,2,2,2,,,
,listen,listen,list,,,list
,up,up,up,,,
,&,&,&,,,
,observe,observ,observ,,observ,observ
,the,the,the,,,
,words,word,word,,word,word
,hitting,hit,hit,,hit,hit
,replay,replay,replay,,,
,like,like,lik,,,lik
,man,man,man,,,
,what,what,what,,,
,did,did,did,,,
,he,he,he,,,
,say,say,say,,,
,it,it,it,,,
,'ll,'ll,'ll,,,
,be,be,be,,,
,one,one,on,,,on
,less,less,less,,,
,nigga,nigga,nigg,,,nigg
,fucking,fuck,fuck,,fuck,fuck
,around,around,around,,,
,with,with,with,,,
,my,my,my,,,
,figures,figur,fig,,figur,fig
,yo,yo,yo,,,
,ass,ass,ass,,,
,wo,wo,wo,,,
,n't,n't,n't,,,
,get,get,get,,,
,no,no,no,,,
,bigger,bigger,big,,,big
,i,i,i,,,
,'m,'m,'m,,,
,so,so,so,,,
,fast,fast,fast,,,
,when,when,when,,,
,i,i,i,,,
,pull,pull,pul,,,pul
,that,that,that,,,
,trigger,trigger,trig,,,trig
,do,do,do,,,
,n't,n't,n't,,,
,test,test,test,,,
,me,me,me,,,
,esc,esc,esc,,,
,for,for,for,,,
,me,me,me,,,
,new,new,new,,,
,generation,gener,gen,,gener,gen
,compton,compton,compton,,,
,g,g,g,,,
,in,in,in,,,
,the,the,the,,,
,hood,hood,hood,,,
,it,it,it,,,
,'s,'s,'s,,,
,understood,understood,understood,,,
,do,do,do,,,
,n't,n't,n't,,,
,fuck,fuck,fuck,,,
,around,around,around,,,
,with,with,with,,,
,eazy,eazi,eazy,,eazi,
,e,e,e,,,
,got,got,got,,,
,ta,ta,ta,,,
,have,have,hav,,,hav
,these,these,thes,,,thes
,hoes,hoe,hoe,,hoe,hoe
,on,on,on,,,
,point,point,point,,,
,when,when,when,,,
,i,i,i,,,
,sit,sit,sit,,,
,back,back,back,,,
,and,and,and,,,
,smoke,smoke,smok,,,smok
,this,thi,thi,,thi,thi
,joint,joint,joint,,,
,do,do,do,,,
,you,you,you,,,
,nigga,nigga,nigg,,,nigg
,i,i,i,,,
,cant,cant,cant,,,
,hate,hate,hat,,,hat
,ya,ya,ya,,,
,keep,keep,keep,,,
,it,it,it,,,
,gangster,gangster,gangst,,,gangst
,thats,that,that,,that,that
,my,my,my,,,
,nature,natur,nat,,natur,nat
,this,thi,thi,,thi,thi
,this,thi,thi,,thi,thi
,is,is,is,,,
,compton,compton,compton,,,
,'s,'s,'s,,,
,in,in,in,,,
,the,the,the,,,
,house,hous,hous,,hous,hous
,niggas,nigga,nigga,,nigga,nigga
,you,you,you,,,
,know,know,know,,,
,what,what,what,,,
,this,thi,thi,,thi,thi
,is,is,is,,,
,niggas,nigga,nigga,,nigga,nigga
,keep,keep,keep,,,
,screamin,screamin,screamin,,,
,',',',,,
,that,that,that,,,
,gangsta,gangsta,gangst,,,gangst
,shit,shit,shit,,,
,so,so,so,,,
,i'mma,i'mma,i'mma,,,
,give,give,giv,,,giv
,them,them,them,,,
,niggas,nigga,nigga,,nigga,nigga
,that,that,that,,,
,gangsta,gangsta,gangst,,,gangst
,shit,shit,shit,,,
,mama,mama,mam,,,mam
,i,i,i,,,
,dig,dig,dig,,,
,the,the,the,,,
,way,way,way,,,
,you,you,you,,,
,dip,dip,dip,,,
,&,&,&,,,
,move,move,mov,,,mov
,ya,ya,ya,,,
,hips,hip,hip,,hip,hip
,so,so,so,,,
,come,come,com,,,com
,here,here,her,,,her
,let,let,let,,,
,me,me,me,,,
,whisper,whisper,whisp,,,whisp
,you,you,you,,,
,some,some,som,,,som
,gangsta,gangsta,gangst,,,gangst
,shit,shit,shit,,,
,pop,pop,pop,,,
,that,that,that,,,
,ass,ass,ass,,,
,like,like,lik,,,lik
,a,a,a,,,
,'64,'64,'64,,,
,drop,drop,drop,,,
,that,that,that,,,
,ass,ass,ass,,,
,like,like,lik,,,lik
,a,a,a,,,
,'64,'64,'64,,,
,baby,babi,baby,,babi,
,drop,drop,drop,,,
,your,your,yo,,,yo
,ass,ass,ass,,,
,like,like,lik,,,lik
,a,a,a,,,
,'64,'64,'64,,,
,baby,babi,baby,,babi,
,poppin,poppin,poppin,,,
,that,that,that,,,
,ass,ass,ass,,,
,like,like,lik,,,lik
,a,a,a,,,
,'64,'64,'64,,,
,it,it,it,,,
,ai,ai,ai,,,
,n't,n't,n't,,,
,nothin,nothin,nothin,,,
,',',',,,
,to,to,to,,,
,a,a,a,,,
,boss,boss,boss,,,
,when,when,when,,,
,you,you,you,,,
,gettin,gettin,gettin,,,
,',',',,,
,it,it,it,,,
,it,it,it,,,
,'s,'s,'s,,,
,the,the,the,,,
,jump,jump,jump,,,
,off,off,off,,,
,now,now,now,,,
,let,let,let,,,
,the,the,the,,,
,crip,crip,crip,,,
,in,in,in,,,
,it,it,it,,,
,joint,joint,joint,,,
,hittin,hittin,hittin,,,
,',',',,,
,it,it,it,,,
,eyes,eye,ey,,eye,ey
,low,low,low,,,
,stay,stay,stay,,,
,steamin',steamin',steamin',,,
,i,i,i,,,
,'m,'m,'m,,,
,the,the,the,,,
,dopeman,dopeman,dopem,,,dopem
,dope,dope,dop,,,dop
,hands,hand,hand,,hand,hand
,stay,stay,stay,,,
,fiendin',fiendin',fiendin',,,
,everybody,everybodi,everybody,,everybodi,
,wan,wan,wan,,,
,na,na,na,,,
,see,see,see,,,
,a,a,a,,,
,g,g,g,,,
,back,back,back,,,
,in,in,in,,,
,the,the,the,,,
,phat,phat,phat,,,
,rollin,rollin,rollin,,,
,',',',,,
,thru,thru,thru,,,
,the,the,the,,,
,city,citi,city,,citi,
,streets,street,streets,,street,
,i,i,i,,,
,guess,guess,guess,,,
,i,i,i,,,
,guess,guess,guess,,,
,i,i,i,,,
,'m,'m,'m,,,
,the,the,the,,,
,one,one,on,,,on
,they,they,they,,,
,wan,wan,wan,,,
,na,na,na,,,
,be,be,be,,,
,first,first,first,,,
,son,son,son,,,
,of,of,of,,,
,a,a,a,,,
,legend,legend,legend,,,
,named,name,nam,,name,nam
,eazy-e,eazy-,eazy-e,,eazy-,
,and,and,and,,,
,now,now,now,,,
,little,littl,littl,,littl,littl
,e,e,e,,,
,so,so,so,,,
,famous,famou,fam,,famou,fam
,hands,hand,hand,,hand,hand
,on,on,on,,,
,action,action,act,,,act
,everybody,everybodi,everybody,,everybodi,
,so,so,so,,,
,anxious,anxiou,anxy,,anxiou,anxy
,game,game,gam,,,gam
,gon,gon,gon,,,
,',',',,,
,change,chang,chang,,chang,chang
,it,it,it,,,
,nigga,nigga,nigg,,,nigg
,face,face,fac,,,fac
,facts,fact,fact,,fact,fact
,you,you,you,,,
,can,can,can,,,
,hate,hate,hat,,,hat
,it,it,it,,,
,or,or,or,,,
,love,love,lov,,,lov
,it,it,it,,,
,while,while,whil,,,whil
,i,i,i,,,
,just,just,just,,,
,lay,lay,lay,,,
,back,back,back,,,
,this,thi,thi,,thi,thi
,maybach,maybach,maybach,,,
,put,put,put,,,
,the,the,the,,,
,loop,loop,loop,,,
,on,on,on,,,
,'em,'em,'em,,,
,'64,'64,'64,,,
,impala,impala,impal,,,impal
,no,no,no,,,
,roof,roof,roof,,,
,on,on,on,,,
,'em,'em,'em,,,
,100,100,100,,,
,proof,proof,proof,,,
,on,on,on,,,
,'em,'em,'em,,,
,i,i,i,,,
,'m,'m,'m,,,
,real,real,real,,,
,with,with,with,,,
,it,it,it,,,
,think,think,think,,,
,otherwise,otherwis,otherw,,otherwis,otherw
,homie,homi,hom,,homi,hom
,we,we,we,,,
,can,can,can,,,
,deal,deal,deal,,,
,with,with,with,,,
,it,it,it,,,
,work,work,work,,,
,it,it,it,,,
,on,on,on,,,
,the,the,the,,,
,block,block,block,,,
,i,i,i,,,
,work,work,work,,,
,it,it,it,,,
,rock,rock,rock,,,
,it,it,it,,,
,up,up,up,,,
,then,then,then,,,
,serve,serv,serv,,serv,serv
,it,it,it,,,
,watch,watch,watch,,,
,how,how,how,,,
,fast,fast,fast,,,
,fiends,fiend,fiend,,fiend,fiend
,purchase,purchas,purchas,,purchas,purchas
,nervous,nervou,nerv,,nervou,nerv
,'cuz,'cuz,'cuz,,,
